name,surname,phonenumber,email
Alexander,Duma,+897566225,alex@alex.com
Astra,Brown,+58125356,astra@astra.com
Astrid,Siemens,+895546866522,astrid@astrid.com
Bobby,Brown,+879566245,bobby@bobby.com
Daiga,Pikule,+3718624566,daiga@daiga.com
Dina,Green,+25658552456,dina@dina.com
Frank,Sinatra,+366595489,frank@frank.com
Ian,Somerholder,+589975566,ian@ian.com
Jane,Doe,+2358644566,jane@jane.com
Jerry,Hersh,+3658954566,jerry@jerry.com
John,Snow,+658965235,john@john.com
Kevin,Kostner,+12568895,kevin@kevin.com
Marina,Sight,+5874569558,marina@marina.com
Mike,Benks,+23658925959,mikebenks@mike.com
Mike,Rork,+485696225262,mike@mike.com
Mila,Smith,+25685245,mila@mila.com
Mindy,Black,+547856329,mindy@mindy.com
Monta,Priede,+3715685456,monta@monta.com
Samantha,Jones,+12587456,samantha@samantha.com
Sandra,Rimke,+37266895,sandra@sandra.com
Simona,Smiltene,+371568556,sim@sim.com
Steven,Stallone,+7586522351,steven@steven.com
Tom,Hiddleston,+54235896,tom@tom.com
Zed,Zeplin,+456875296,zed@zed.com
